County,Total Homeless Persons 2015,Total Sheltered Persons 2015,Total Unsheltered Persons 2015,Total Homeless Households 2015,Total Sheltered Households 2015,Total Unsheltered Households 2015,Total Individuals 2015,Total Individuals Sheltered 2015,Total Individuals Unsheltered 2015,Total Persons in Families 2015,Total Persons in Families Sheltered 2015,Total Persons in Families Unsheltered 2015,Total Family Households 2015,Total Family Households Sheltered 2015,Total Family Households Unsheltered 2015,Homeless Persons under 18 2015,Persons under 18 Sheltered 2015,Persons under 18 Unsheltered 2015,Homeless Persons 18-24 2015,Persons 18-24 Sheltered 2015,Persons 18-24 Unsheltered 2015,Homeless Persons over 24 2015,Persons over 24 Sheltered 2015,Persons over 24 Unsheltered 2015,Missing DOB 2015,Missing DOB Sheltered 2015,Missing DOB Unsheltered 2015,Female Homeless 2015,Female Sheltered 2015,Female Unsheltered 2015,Male Homeless 2015,Male Sheltered 2015,Male Unsheltered 2015 ,Transgender (Male to Female) Homeless 2015,Transgender (Male to Female) Sheltered 2015,Transgender (Male to Female) Unsheltered 2015,Transgender (Female to Male) Homeless 2015,Transgender (Female to Male) Sheltered 2015,Transgender (Female to Male) Unsheltered 2015,Missing Gender 2015,Missing Gender Sheltered 2015,Missing Gender Unsheltered 2015,Non-Hispanic/Non-Latino Homeless 2015,Non-Hispanic/Non-Latino Sheltered 2015,Non-Hispanic/Non-Latino Unsheltered 2015,Hispanic/Latino Homeless 2015,Hispanic/Latino Sheltered 2015,Hispanic/Latino Unsheltered 2015,Missing Ethnicity 2015,Missing Ethnicity Sheltered 2015,Missing Ethnicity Unsheltered 2015,White Homeless 2015,White Sheltered 2015,White Unsheltered 2015,Black Homeless 2015,Black Sheltered 2015,Black Unsheltered 2015,Asian Homeless 2015,Asian Sheltered 2015,Asian Unsheltered 2015,American Indian or Alaska Native Homeless 2015,American Indian or Alaska Native Sheltered 2015,American Indian or Alaska Native Unsheltered 2015,Native Hawaiian or Other Pacific Islander Homeless 2015,Native Hawaiian or Other Pacific Islander Sheltered 2015,Native Hawaiian or Other Pacific Islander Unsheltered 2015,Multiple Races Homeless 2015,Multiple Races Sheltered 2015,Multiple Races Unsheltered 2015,Missing Race 2015,Missing Race Sheltered 2015,Missing Race Unsheltered 2015
Oregon,"13,176","5,819","7,357","10,069","4,536","5,533","9,441","4,060","5,381","3,735","1,759","1,976","1,177",581,596,"2,466","1,095","1,371","1,231",504,727,"9,336","4,184","5,152",143,36,107,"5,046","2,334","2,712","7,866","3,442","4,424",37,24,13,15,8,7,212,11,201,"11,159","4,979","6,180","1,317",641,676,700,199,501,"10,409","4,577","5,832",802,453,349,96,51,45,570,237,333,129,68,61,653,331,322,517,102,415
Baker,14,13,1,7,6,1,3,2,1,11,11,0,4,4,0,7,7,0,1,1,0,6,5,1,0,0,0,9,9,0,5,4,1,0,0,0,0,0,0,0,0,0,13,12,1,1,1,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Benton,127,74,53,118,68,50,115,65,50,12,9,3,5,3,2,7,6,1,20,9,11,94,58,36,6,1,5,41,24,17,86,50,36,0,0,0,0,0,0,0,0,0,103,57,46,10,8,2,14,9,5,94,57,37,4,2,2,0,0,0,7,3,4,3,2,1,7,4,3,12,6,6
Clackamas*,494,186,308,374,111,263,357,76,281,137,110,27,44,37,7,76,66,10,49,25,24,369,95,274,0,0,0,203,98,105,287,85,202,4,3,1,0,0,0,0,0,0,442,159,283,52,27,25,0,0,0,419,142,277,23,15,8,9,9,0,37,16,21,6,4,2,0,0,0,0,0,0
Clatsop,682,393,289,434,246,188,421,251,170,261,142,119,79,45,34,183,83,100,33,15,18,439,293,146,27,2,25,325,200,125,355,192,163,0,0,0,0,0,0,2,1,1,645,376,269,29,12,17,8,5,3,643,370,273,4,4,0,1,0,1,12,6,6,1,0,1,10,5,5,11,8,3
Columbia,317,43,274,208,33,175,190,28,162,127,15,112,42,6,36,81,9,72,30,5,25,205,28,177,1,1,0,140,18,122,176,24,152,0,0,0,0,0,0,1,1,0,304,38,266,10,4,6,3,1,2,297,40,257,2,0,2,0,0,0,3,1,2,1,0,1,10,1,9,4,1,3
Coos,612,33,579,449,24,425,418,19,399,194,14,180,59,6,53,288,8,280,81,4,77,243,21,222,0,0,0,208,21,187,235,12,223,0,0,0,0,0,0,169,0,169,402,28,374,40,5,35,170,0,170,387,30,357,7,0,7,0,0,0,22,0,22,4,0,4,22,3,19,170,0,170
Crook,36,9,27,21,8,13,17,7,10,19,2,17,4,1,3,12,1,11,2,0,2,22,8,14,0,0,0,20,8,12,16,1,15,0,0,0,0,0,0,0,0,0,36,9,27,0,0,0,0,0,0,35,9,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Curry,86,0,86,46,0,46,43,0,43,43,0,43,10,0,10,27,0,27,5,0,5,54,0,54,0,0,0,41,0,41,45,0,45,0,0,0,0,0,0,0,0,0,78,0,78,8,0,8,0,0,0,79,0,79,0,0,0,1,0,1,2,0,2,0,0,0,4,0,4,0,0,0
Deschutes,503,176,327,350,151,199,324,139,185,179,37,142,56,14,42,111,29,82,51,21,30,341,126,215,0,0,0,185,56,129,318,120,198,0,0,0,0,0,0,0,0,0,453,161,292,50,15,35,0,0,0,476,164,312,4,2,2,3,2,1,10,3,7,1,0,1,9,5,4,0,0,0
